"ID";"Lagerort";"x_Koordinate";"y_Koordinate";"z_Koordinate"; 
"1";"(1, 1, 1, 'l')";"150";"400";"2075"; 
"2";"(1, 1, 2, 'l')";"550";"400";"2075"; 
"3";"(1, 1, 3, 'l')";"950";"400";"2075"; 
"4";"(1, 1, 4, 'l')";"1350";"400";"2075"; 
"5";"(1, 1, 5, 'l')";"1750";"400";"2075"; 
"6";"(1, 1, 6, 'l')";"2150";"400";"2075"; 
"7";"(1, 1, 7, 'l')";"2550";"400";"2075"; 
"8";"(1, 1, 8, 'l')";"2950";"400";"2075"; 
"9";"(1, 1, 9, 'l')";"3350";"400";"2075"; 
"10";"(1, 1, 10, 'l')";"3750";"400";"2075"; 
"11";"(1, 1, 11, 'l')";"4150";"400";"2075"; 
"12";"(1, 1, 12, 'l')";"4550";"400";"2075"; 
"13";"(1, 1, 13, 'l')";"4950";"400";"2075"; 
"14";"(1, 1, 14, 'l')";"5350";"400";"2075"; 
"15";"(1, 1, 15, 'l')";"5750";"400";"2075"; 
"16";"(1, 1, 16, 'l')";"6150";"400";"2075"; 
"17";"(1, 1, 17, 'l')";"6550";"400";"2075"; 
"18";"(1, 1, 18, 'l')";"6950";"400";"2075"; 
"19";"(1, 1, 19, 'l')";"7350";"400";"2075"; 
"20";"(1, 1, 20, 'l')";"7750";"400";"2075"; 
"21";"(1, 1, 1, 'r')";"150";"1400";"2075"; 
"22";"(1, 1, 2, 'r')";"550";"1400";"2075"; 
"23";"(1, 1, 3, 'r')";"950";"1400";"2075"; 
"24";"(1, 1, 4, 'r')";"1350";"1400";"2075"; 
"25";"(1, 1, 5, 'r')";"1750";"1400";"2075"; 
"26";"(1, 1, 6, 'r')";"2150";"1400";"2075"; 
"27";"(1, 1, 7, 'r')";"2550";"1400";"2075"; 
"28";"(1, 1, 8, 'r')";"2950";"1400";"2075"; 
"29";"(1, 1, 9, 'r')";"3350";"1400";"2075"; 
"30";"(1, 1, 10, 'r')";"3750";"1400";"2075"; 
"31";"(1, 1, 11, 'r')";"4150";"1400";"2075"; 
"32";"(1, 1, 12, 'r')";"4550";"1400";"2075"; 
"33";"(1, 1, 13, 'r')";"4950";"1400";"2075"; 
"34";"(1, 1, 14, 'r')";"5350";"1400";"2075"; 
"35";"(1, 1, 15, 'r')";"5750";"1400";"2075"; 
"36";"(1, 1, 16, 'r')";"6150";"1400";"2075"; 
"37";"(1, 1, 17, 'r')";"6550";"1400";"2075"; 
"38";"(1, 1, 18, 'r')";"6950";"1400";"2075"; 
"39";"(1, 1, 19, 'r')";"7350";"1400";"2075"; 
"40";"(1, 1, 20, 'r')";"7750";"1400";"2075"; 
"41";"0";"150";"2300";"2075"; 
"42";"0";"550";"2300";"2075"; 
"43";"0";"950";"2300";"2075"; 
"44";"0";"1350";"2300";"2075"; 
"45";"0";"1750";"2300";"2075"; 
"46";"0";"2150";"2300";"2075"; 
"47";"0";"2550";"2300";"2075"; 
"48";"0";"2950";"2300";"2075"; 
"49";"0";"3350";"2300";"2075"; 
"50";"0";"3750";"2300";"2075"; 
"51";"0";"4150";"2300";"2075"; 
"52";"0";"4550";"2300";"2075"; 
"53";"0";"4950";"2300";"2075"; 
"54";"0";"5350";"2300";"2075"; 
"55";"0";"5750";"2300";"2075"; 
"56";"0";"6150";"2300";"2075"; 
"57";"0";"6550";"2300";"2075"; 
"58";"0";"6950";"2300";"2075"; 
"59";"0";"7350";"2300";"2075"; 
"60";"0";"7750";"2300";"2075"; 
"61";"0";"150";"3300";"2075"; 
"62";"0";"550";"3300";"2075"; 
"63";"0";"950";"3300";"2075"; 
"64";"0";"1350";"3300";"2075"; 
"65";"0";"1750";"3300";"2075"; 
"66";"0";"2150";"3300";"2075"; 
"67";"0";"2550";"3300";"2075"; 
"68";"0";"2950";"3300";"2075"; 
"69";"0";"3350";"3300";"2075"; 
"70";"0";"3750";"3300";"2075"; 
"71";"0";"4150";"3300";"2075"; 
